Year,Origin,ISO,Destination,Asylum ,Returned,ReturnedIDPss,Resettlement,Naturalisation
2015,Rwanda,RWA,Australia,AUS,-,-,20,-
2015,Rwanda,RWA,Canada,CAN,-,-,88,425
2015,Rwanda,RWA,Denmark,DNK,-,-,15,-
2015,Rwanda,RWA,Finland,FIN,-,-,5,-
2015,Rwanda,RWA,Norway,NOR,-,-,10,-
2015,Rwanda,RWA,Sweden,SWE,-,-,11,-
2015,Rwanda,RWA,United States of America,USA,-,-,197,-
2015,El Salvador,SLV,United States of America,USA,-,-,11,-
2015,Saudi Arabia,SAU,Australia,AUS,-,-,10,-
2015,Saudi Arabia,SAU,Canada,CAN,-,-,5,9
2015,Saudi Arabia,SAU,United States of America,USA,-,-,5,-
2015,Senegal,SEN,Canada,CAN,-,-,12,11
2015,Senegal,SEN,United States of America,USA,-,-,7,-
2015,Sierra Leone,SLE,Australia,AUS,-,-,7,-
2015,Sierra Leone,SLE,Canada,CAN,-,-,68,41
2015,Somalia,SOM,Australia,AUS,-,-,205,-
2015,Somalia,SOM,Canada,CAN,-,-,696,1043
2015,Somalia,SOM,Denmark,DNK,-,-,12,-
2015,Somalia,SOM,Finland,FIN,-,-,25,-
2015,Somalia,SOM,United Kingdom of Great Britain and Northern Ireland,GBR,-,-,175,-
2015,Somalia,SOM,Germany,DEU,-,-,45,-
2015,Somalia,SOM,Norway,NOR,-,-,33,-
2015,Somalia,SOM,New Zealand,NZL,-,-,35,-
2015,Somalia,SOM,Sweden,SWE,-,-,327,-
2015,Somalia,SOM,United States of America,USA,-,-,7779,-
2015,Viet Nam,VNM,Canada,CAN,-,-,16,19
2015,Viet Nam,VNM,United States of America,USA,-,-,39,-
2015,South Sudan,SSD,Australia,AUS,-,-,55,-
2015,South Sudan,SSD,Canada,CAN,-,-,40,-
2015,South Sudan,SSD,Denmark,DNK,-,-,5,-
2015,South Sudan,SSD,Sweden,SWE,-,-,5,-
2015,South Sudan,SSD,United States of America,USA,-,-,113,-
2015,Stateless,XXA,Canada,CAN,-,-,461,493
2015,Stateless,XXA,Denmark,DNK,-,-,5,-
2015,Stateless,XXA,Germany,DEU,-,-,33,-
2015,Stateless,XXA,Norway,NOR,-,-,24,-
2015,Stateless,XXA,Sweden,SWE,-,-,137,-
2015,Sudan,SDN,Australia,AUS,-,-,137,-
2015,Sudan,SDN,Canada,CAN,-,-,141,358
2015,Sudan,SDN,Denmark,DNK,-,-,14,-
2015,Sudan,SDN,Finland,FIN,-,-,204,-
2015,Sudan,SDN,United Kingdom of Great Britain and Northern Ireland,GBR,-,-,72,-
2015,Sudan,SDN,Germany,DEU,-,-,122,-
2015,Sudan,SDN,Norway,NOR,-,-,28,-
2015,Sudan,SDN,New Zealand,NZL,-,-,5,-
2015,Sudan,SDN,Sweden,SWE,-,-,19,-
2015,Sudan,SDN,United States of America,USA,-,-,1688,-
2015,Syrian Arab Rep.,SYR,Australia,AUS,-,-,1502,-
2015,Syrian Arab Rep.,SYR,Austria,AUT,-,-,756,54
2015,Syrian Arab Rep.,SYR,Belgium,BEL,-,-,188,62
2015,Syrian Arab Rep.,SYR,Belarus,BLR,-,-,14,-
2015,Syrian Arab Rep.,SYR,Canada,CAN,-,-,7924,75
2015,Syrian Arab Rep.,SYR,Denmark,DNK,-,-,244,-
2015,Syrian Arab Rep.,SYR,Finland,FIN,-,-,376,-
2015,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,-,-,1199,-
2015,Syrian Arab Rep.,SYR,Germany,DEU,-,-,9,-
2015,Syrian Arab Rep.,SYR,Iceland,ISL,-,-,13,-
2015,Syrian Arab Rep.,SYR,Ireland,IRL,-,-,149,5
2015,Syrian Arab Rep.,SYR,Italy,ITA,-,-,96,-
2015,Syrian Arab Rep.,SYR,Liechtenstein,LIE,-,-,18,-
2015,Syrian Arab Rep.,SYR,Luxembourg,LUX,-,-,46,-
2015,Syrian Arab Rep.,SYR,Norway,NOR,-,-,1684,-
2015,Syrian Arab Rep.,SYR,New Zealand,NZL,-,-,75,-
2015,Syrian Arab Rep.,SYR,Sweden,SWE,-,-,680,-
2015,Syrian Arab Rep.,SYR,Switzerland,CHE,-,-,552,-
2015,Syrian Arab Rep.,SYR,United States of America,USA,-,-,2192,-
2015,United Rep. of Tanzania,TZA,Australia,AUS,-,-,22,-
